"Load","Magnitude",
"p_r",0,"N/mm2"
"p_th",0,"N/mm2"
"p_z",0,"N/mm2"
"P",-4000000,"N"
"Q",1760000,"N"
"T",0,"Nmm"
"M",-33000000000,"Nmm"
