"ID","h (mm)","d1 (top) (mm)","d2 (bottom) (mm)","t (mm)"
101,600,1000,1000,100
102,2319,1000,1000,100
103,2569,3200,1000,100
104,2684,3300,1000,100
105,2675,3400,1000,100
106,2416,3500,1000,100
107,2657,3600,1000,100
108,2648,3700,1000,100
109,2639,3800,1000,100
110,2630,3900,1000,100
111,2621,4000,1000,100
112,2068,4100,1000,100
113,2067,4200,1000,100
114,2368,4300,1000,100
115,2897,4400,1000,100
116,142,4500,1000,100
