"ID","h (mm)","d1 (top) (mm)","d2 (bottom) (mm)","t (mm)"
101,600,2000,2000,2
102,2319,2000,2000,2
103,2569,2000,2000,2
104,2684,2000,2000,2
105,2675,2000,2000,2
106,2416,2000,2000,2
107,2657,2000,2000,2
108,2648,2000,2000,2
109,2639,2000,2000,2
110,2630,2000,2000,2
111,2621,2000,2000,2
112,2068,2000,2000,2
113,2067,2000,2000,2
114,2368,2000,2000,2
115,2897,2000,2000,2
116,142,2000,2000,2
