"ID","h (mm)","d1 (top) (mm)","d2 (bottom) (mm)","t (mm)"
101,600,0,0,0
102,2319,0,0,0
103,2569,0,0,0
104,2684,0,0,0
105,2675,0,0,0
106,2416,0,0,0
107,2657,0,0,0
108,2648,0,0,0
109,2639,0,0,0
110,2630,0,0,0
111,2621,0,0,0
112,2068,0,0,0
113,2067,0,0,0
114,2368,0,0,0
115,2897,0,0,0
116,142,0,0,0
